DATE,Aantal Covid-overlijdens,Aantal Covid-overlijdens opgeteld
2021-01-10,56,20392
2021-01-11,53,20445
2021-01-12,51,20496
2021-01-13,41,20537
2021-01-14,62,20599
2021-01-15,48,20647
2021-01-16,47,20694
2021-01-17,44,20738
2021-01-18,58,20796
2021-01-19,61,20857
2021-01-20,49,20906
2021-01-21,53,20959
2021-01-22,49,21008
2021-01-23,68,21076
2021-01-24,39,21115
2021-01-25,44,21159
2021-01-26,53,21212
2021-01-27,41,21253
2021-01-28,55,21308
2021-01-29,44,21352
2021-01-30,29,21381
2021-01-31,32,21413
2021-02-01,40,21453
2021-02-02,52,21505
2021-02-03,43,21548
2021-02-04,34,21582
2021-02-05,57,21639
2021-02-06,42,21681
2021-02-07,41,21722
2021-02-08,37,21759
2021-02-09,41,21800
2021-02-10,42,21842
2021-02-11,35,21877
2021-02-12,43,21920
2021-02-13,31,21951
2021-02-14,52,22003
2021-02-15,37,22040
2021-02-16,39,22079
2021-02-17,29,22108
2021-02-18,33,22141
2021-02-19,30,22171
2021-02-20,21,22192
2021-02-21,26,22218
2021-02-22,20,22238
2021-02-23,25,22263
2021-02-24,22,22285
2021-02-25,29,22314
2021-02-26,22,22336
2021-02-27,29,22365
2021-02-28,31,22396
2021-03-01,31,22427
2021-03-02,25,22452
2021-03-03,26,22478
2021-03-04,17,22495
2021-03-05,33,22528
2021-03-06,25,22553
2021-03-07,19,22572
2021-03-08,36,22608
2021-03-09,23,22631
2021-03-10,24,22655
2021-03-11,27,22682
2021-03-12,20,22702
2021-03-13,25,22727
2021-03-14,20,22747
2021-03-15,25,22772
2021-03-16,28,22800
2021-03-17,25,22825
2021-03-18,26,22851
2021-03-19,31,22882
2021-03-20,24,22906
2021-03-21,24,22930
2021-03-22,34,22964
2021-03-23,24,22988
2021-03-24,27,23015
2021-03-25,34,23049
2021-03-26,20,23069
2021-03-27,28,23097
2021-03-28,23,23120
2021-03-29,31,23151
2021-03-30,33,23184
2021-03-31,31,23215
2021-04-01,40,23255
2021-04-02,46,23301
2021-04-03,40,23341
2021-04-04,36,23377
2021-04-05,49,23426
2021-04-06,46,23472
2021-04-07,43,23515
2021-04-08,43,23558
2021-04-09,44,23602
2021-04-10,46,23648
2021-04-11,22,23670
2021-04-12,44,23714
2021-04-13,37,23751
2021-04-14,39,23790
2021-04-15,42,23832
2021-04-16,45,23877
2021-04-17,30,23907
2021-04-18,35,23942
2021-04-19,50,23992
2021-04-20,36,24028
2021-04-21,36,24064
2021-04-22,43,24107
2021-04-23,42,24149
2021-04-24,36,24185
2021-04-25,39,24224
2021-04-26,44,24268
2021-04-27,26,24294
2021-04-28,49,24343
2021-04-29,46,24389
2021-04-30,33,24422
2021-05-01,28,24450
2021-05-02,34,24484
2021-05-03,43,24527
2021-05-04,40,24567
2021-05-05,38,24605
2021-05-06,38,24643
2021-05-07,26,24669
2021-05-08,42,24711
2021-05-09,32,24743
2021-05-10,28,24771
2021-05-11,17,24788
2021-05-12,19,24807
2021-05-13,21,24828
2021-05-14,20,24848
2021-05-15,22,24870
2021-05-16,17,24887
2021-05-17,24,24911
2021-05-18,17,24928
2021-05-19,25,24953
2021-05-20,16,24969
2021-05-21,19,24988
2021-05-22,18,25006
2021-05-23,11,25017
2021-05-24,19,25036
2021-05-25,16,25052
2021-05-26,14,25066
2021-05-27,6,25072
2021-05-28,11,25083
2021-05-29,16,25099
2021-05-30,18,25117
2021-05-31,14,25131
2021-06-01,11,25142
2021-06-02,16,25158
2021-06-03,15,25173
2021-06-04,10,25183
2021-06-05,13,25196
2021-06-06,7,25203
2021-06-07,5,25208
2021-06-08,13,25221
2021-06-09,6,25227
2021-06-10,7,25234
2021-06-11,9,25243
2021-06-12,6,25249
2021-06-13,4,25253
2021-06-14,6,25259
2021-06-15,6,25265
2021-06-16,6,25271
2021-06-17,7,25278
2021-06-18,9,25287
2021-06-19,6,25293
2021-06-20,3,25296
2021-06-21,5,25301
2021-06-22,3,25304
2021-06-23,5,25309
2021-06-24,5,25314
2021-06-25,5,25319
2021-06-26,2,25321
2021-06-27,3,25324
2021-06-28,2,25326
2021-06-29,5,25331
2021-06-30,2,25333
2021-07-01,5,25338
2021-07-02,3,25341
2021-07-03,3,25344
2021-07-04,2,25346
2021-07-05,3,25349
2021-07-06,1,25350
2021-07-08,2,25352
2021-07-09,2,25354
2021-07-10,5,25359
2021-07-12,2,25361
2021-07-14,1,25362
2021-07-15,2,25364
2021-07-16,2,25366
2021-07-18,2,25368
2021-07-21,3,25371
2021-07-22,4,25375
2021-07-23,2,25377
2021-07-24,3,25380
2021-07-25,2,25382
2021-07-26,1,25383
2021-07-27,4,25387
2021-07-28,1,25388
2021-07-29,6,25394
2021-07-30,6,25400
2021-07-31,3,25403
2021-08-01,1,25404
2021-08-02,5,25409
2021-08-03,5,25414
2021-08-04,4,25418
2021-08-05,3,25421
2021-08-06,3,25424
2021-08-07,3,25427
2021-08-08,3,25430
2021-08-09,5,25435
2021-08-10,2,25437
2021-08-11,2,25439
2021-08-12,3,25442
2021-08-13,5,25447
2021-08-14,4,25451
2021-08-15,2,25453
2021-08-16,5,25458
2021-08-17,3,25461
2021-08-18,4,25465
2021-08-19,9,25474
2021-08-20,9,25483
2021-08-21,7,25490
2021-08-22,7,25497
2021-08-23,3,25500
2021-08-24,6,25506
2021-08-25,7,25513
2021-08-26,6,25519
2021-08-27,5,25524
2021-08-28,4,25528
2021-08-29,4,25532
2021-08-30,5,25537
2021-08-31,4,25541
2021-09-01,7,25548
2021-09-02,6,25554
2021-09-03,6,25560
2021-09-04,10,25570
2021-09-05,8,25578
2021-09-06,7,25585
2021-09-07,9,25594
2021-09-08,9,25603
2021-09-09,6,25609
2021-09-10,7,25616
2021-09-11,7,25623
2021-09-12,7,25630
2021-09-13,7,25637
2021-09-14,8,25645
2021-09-15,7,25652
2021-09-16,1,25653
2021-09-17,5,25658
2021-09-18,9,25667
2021-09-19,7,25674
2021-09-20,6,25680
2021-09-21,5,25685
2021-09-22,11,25696
2021-09-23,11,25707
2021-09-24,7,25714
2021-09-25,7,25721
2021-09-26,7,25728
2021-09-27,13,25741
2021-09-28,7,25748
2021-09-29,7,25755
2021-09-30,11,25766
2021-10-01,6,25772
2021-10-02,8,25780
2021-10-03,8,25788
2021-10-04,5,25793
2021-10-05,14,25807
2021-10-06,13,25820
2021-10-07,11,25831
2021-10-08,7,25838
2021-10-09,11,25849
2021-10-10,4,25853
2021-10-11,18,25871
2021-10-12,13,25884
2021-10-13,8,25892
2021-10-14,10,25902
2021-10-15,18,25920
2021-10-16,14,25934
2021-10-17,10,25944
2021-10-18,19,25963
2021-10-19,13,25976
2021-10-20,14,25990
2021-10-21,10,26000
2021-10-22,18,26018
2021-10-23,20,26038
2021-10-24,16,26054
2021-10-25,18,26072
2021-10-26,27,26099
2021-10-27,33,26132
2021-10-28,18,26150
2021-10-29,21,26171
2021-10-30,16,26187
2021-10-31,18,26205
2021-11-01,25,26230
2021-11-02,20,26250
2021-11-03,17,26267
2021-11-04,26,26293
2021-11-05,25,26318
2021-11-06,30,26348
2021-11-07,15,26363
2021-11-08,28,26391
2021-11-09,27,26418
2021-11-10,26,26444
2021-11-11,32,26476
2021-11-12,39,26515
2021-11-13,20,26535
2021-11-14,27,26562
2021-11-15,46,26608
2021-11-16,29,26637
2021-11-17,42,26679
2021-11-18,43,26722
2021-11-19,33,26755
2021-11-20,36,26791
2021-11-21,36,26827
2021-11-22,35,26862
2021-11-23,38,26900
